ticker,option_type,strike_price,expiration_date,quantity,cost_basis,status,entry_date
AAPL,call,205,2027-12-17,4,43.68,Open,2024-06-01
SPY,call,590,2025-10-31,2,32.79,Open,2024-05-15
QBTS,call,10,2027-01-15,5,11.2,Open,2024-05-15
GOOG,call,130,2026-01-16,2,43.8,Open,2024-05-15
UNH,call,520,2027-06-17,12,9.14,Open,2024-05-15
SOFI,call,14,2025-08-15,2,1.47,Open,2024-06-01
SCCO,call,100,2025-07-18,1,3.25,Open,2024-06-01
NET,call,190,2025-07-18,1,6.50,Open,2024-06-01
GOOG,call,170,2025-08-15,26,9.7,Open,2024-06-01
